country,route_km,size,route_km_per_size
Austria,4877,82520,59.10082404
Belarus,5459,202980,26.8942753
Belgium,3607,30280,119.1215324
Bosnia and Herzegovina,1018.054,51200,19.88386719
Bulgaria,4030,108560,37.12232867
Croatia,2617,55960,46.76554682
Czech Republic,9396,77198.53,121.7121621
Estonia,1033,42750,24.16374269
Finland,5923,303940,19.48739883
France,28241,547557,51.57636557
Georgia,1285,69490,18.49186933
Germany,33422,349390,95.65814706
Greece,2279,128900,17.68037238
Hungary,7587.7,91260,83.14376507
Ireland,1888,68890,27.40600958
Italy,16778.6,295717,56.73870626
Latvia,1859.6,62230,29.88269323
Lithuania,1911,62620,30.51740658
Luxembourg,288,2574.46,111.8681199
Moldova,1151,32884.6,35.00118597
Montenegro,249,13810,18.03041274
Netherlands,3200,33670,95.04009504
North Macedonia,683,25220,27.08168121
Norway,4200,364285,11.52943437
Poland,18538,306130,60.55597295
Portugal,2526.149,91605.6,27.57635996
Romania,10759,230080,46.76199583
Serbia,3724.468,87460,42.58481592
Slovakia,3629.154,48080,75.48157238
Slovenia,1209,20136.4,60.04052363
Spain,15718,499556.645,31.46389935
Sweden,9701,407283.532,23.81878774
Switzerland,3236.24529,39516.03,81.89702483
Turkey,10378,769630,13.4844016
Ukraine,21626,579400,37.32481878
United Kingdom,16295,241930,67.35419336
